state_name,number_of_routes
Alabama,1550
Alaska,2004
Arizona,10112
Arkansas,1967
California,33205
Colorado,28140
Connecticut,2043
Delaware,38
Florida,27
Georgia,1031
Hawaii,289
Idaho,3816
Illinois,1391
Indiana,93
Iowa,271
Kansas,183
Kentucky,2448
Louisiana,2
Maine,1072
Maryland,1429
Massachusetts,4384
Michigan,834
Minnesota,1834
Mississippi,77
Missouri,1076
Montana,2556
Nebraska,8
Nevada,4300
New Hampshire,5509
New Jersey,667
New Mexico,5174
New York,4559
North Carolina,2986
North Dakota,51
Ohio,1281
Oklahoma,1170
Oregon,3429
Pennsylvania,2808
Rhode Island,1308
South Carolina,126
South Dakota,3077
Tennessee,2371
Texas,3122
Utah,14230
Vermont,1507
Virginia,4828
Washington,7380
West Virginia,3173
Wisconsin,4103
Wyoming,5348
International,41056
* In Progress,197
